id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_ree;id_reservatorio;nom_reservatorio;num_ordemcs;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
NE;Nordeste;FIO;JEQUITINHONHA  ;NORDESTE            ;JEUITP;ITAPEBI;68;154;2026-01-01;109.35;26.44;35.0;71.74;18.0;38.0;0.0;56.0;0.0;59.85;;15.0;-0.909;1.52;12.62
NE;Nordeste;RCU;PARAGUACU      ;NORDESTE            ;PGUCV;PEDRA DO CAVALO;109;189;2026-01-01;112.42;3.31;72.88;3.38;3.0;0.0;;3.0;;1.95;;1.95;-1.631;5.8252;1.75
NE;Nordeste;RCU;PARNAIBA       ;NORDESTE            ;PIBESP;BOA ESPERANÇA;110;190;2026-01-01;300.75;259.56;41.63;366.28;401.0;0.0;;401.0;;411.19;;411.19;7.206;0.7497;374.23
NE;Nordeste;RCU;SAO FRANCISCO  ;NORDESTE            ;SFSOBR;SOBRADINHO;180;169;2026-01-01;387.61;362.13;43.66;1980.0;1366.0;0.0;;1366.0;;2353.94;;1789.94;189.497;47.9677;1789.94
NE;Nordeste;RCU;SAO FRANCISCO  ;NORDESTE            ;SFLGON;LUIZ GONZAGA;181;172;2026-01-01;300.89;251.45;34.43;980.0;1017.0;0.0;;1017.0;;2206.25;;0.0;46.515;109.611;
NE;Nordeste;FIO;SAO FRANCISCO  ;NORDESTE            ;SFMOXO;APOLONIO SALES;182;173;2026-01-01;251.64;230.24;81.82;1060.89;78.0;0.0;;78.0;844.0;2206.25;;0.0;;112.2565;
NE;Nordeste;FIO;SAO FRANCISCO  ;NORDESTE            ;SFP123;P. AFONSO 1,2,3;183;174;2026-01-01;230.21;138.29;96.94;83.84;85.0;0.0;;85.0;;2206.25;;0.0;0.34;112.3265;
NE;Nordeste;FIO;SAO FRANCISCO  ;NORDESTE            ;SFPAF4;P. AFONSO 4;184;175;2026-01-01;251.42;137.7;70.33;878.72;844.0;0.0;;844.0;;2206.25;;0.0;;34.9819;
NE;Nordeste;FIO;SAO FRANCISCO  ;NORDESTE            ;SFXING;XINGO;185;178;2026-01-01;137.47;14.7;36.59;929.0;921.0;0.0;;921.0;;2086.6;;0.0;4.082;112.7003;
N ;Norte;FIO;ARAGUARI       ;MANAUS-AMAPA        ;AAUCCA;CACHOEIRA CALDEIRAO;1;204;2026-01-01;58.42;42.18;113.39;438.85;375.0;58.0;;433.0;;418.22;;418.22;0.891;;439.74
N ;Norte;FIO;ARAGUARI       ;MANAUS-AMAPA        ;AMUHCN;COARACY NUNES;2;280;2026-01-01;42.15;21.54;100.23;453.99;292.0;165.0;;457.0;;416.59;;1.27;;0.0;25.37
